2018/11/28 11:01:08 [error] 11443#0: *7994 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:08 [error] 11443#0: *7952 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:08 [error] 11443#0: *8000 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:08 [error] 11443#0: *7976 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:08 [error] 11443#0: *7852 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:08 [error] 11443#0: *7980 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:08 [error] 11443#0: *7966 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:08 [error] 11443#0: *7870 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:09 [error] 11443#0: *7946 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:09 [error] 11443#0: *7954 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:09 [error] 11443#0: *7888 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:09 [error] 11443#0: *7990 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:09 [error] 11443#0: *7970 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:10 [error] 11443#0: *7928 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:10 [error] 11443#0: *7872 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:10 [error] 11443#0: *7860 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:10 [error] 11443#0: *7892 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:10 [error] 11443#0: *7862 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:10 [error] 11443#0: *7920 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:10 [error] 11443#0: *7974 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:11 [error] 11443#0: *7918 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:11 [error] 11443#0: *7932 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:11 [error] 11443#0: *7884 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:11 [error] 11443#0: *7850 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:11 [error] 11443#0: *7992 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:12 [error] 11443#0: *7916 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:12 [error] 11443#0: *7922 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
2018/11/28 11:01:12 [error] 11443#0: *7938 upstream prematurely closed connection while reading response header from upstream, client: 59.173.145.140, server: 106.15.176.216, request: "GET /yellowbluewhite HTTP/1.1", upstream: "uwsgi://127.0.0.1:8001", host: "106.15.176.216"
